Module (or Feature),Analysis,P value,Adj. p value,Direction
Olink_mod1,Longitudinal analysis - 4|5 average,0.025979813361412127,0.09092934676494244,Mild
Olink_mod1,Longitudinal analysis - 4|5 shape,0.001162330787466477,0.002034078878066335,Severe
Olink_mod2,Longitudinal analysis - 1|2 average,3.3662020781696795e-7,2.3563414547187757e-6,Severe
Olink_mod2,Longitudinal analysis - 1|2 shape,0.04059525242537802,0.14208338348882307,Mild
Olink_mod2,Longitudinal analysis - 1|3 average,1.544935742947396e-4,0.001081455020063177,Severe
Olink_mod2,Longitudinal analysis - 1|3 shape,0.03895658401943822,0.09089869604535585,Mild
Olink_mod2,Longitudinal analysis - 1|4 average,2.0639271031654217e-14,1.4447489722157953e-13,Severe
Olink_mod2,Longitudinal analysis - 1|5 average,3.908278258457688e-19,2.7357947809203815e-18,Severe
Olink_mod2,Longitudinal analysis - 1|5 shape,2.3391150111322964e-7,8.186902538963038e-7,Severe
Olink_mod2,Longitudinal analysis - 2|4 average,4.107321250021871e-17,2.8751248750153094e-16,Severe
Olink_mod2,Longitudinal analysis - 2|4 shape,0.00678869982045954,0.015840299581072262,Severe
Olink_mod2,Longitudinal analysis - 2|5 average,3.534822001963328e-18,2.4743754013743298e-17,Severe
Olink_mod2,Longitudinal analysis - 2|5 shape,4.1052024598613036e-13,1.4368208609514563e-12,Severe
Olink_mod2,Longitudinal analysis - 3|4 average,3.2847451076163074e-14,2.299321575331415e-13,Severe
Olink_mod2,Longitudinal analysis - 3|4 shape,0.01425792835701337,0.019961099699818716,Severe
Olink_mod2,Longitudinal analysis - 3|5 average,1.5148603301631688e-18,1.0604022311142181e-17,Severe
Olink_mod2,Longitudinal analysis - 3|5 shape,8.344674337067608e-10,2.9206360179736627e-9,Severe
Olink_mod2,Longitudinal analysis - 4|5 average,0.0039152334388562905,0.027406634071994035,Mild
Olink_mod2,Longitudinal analysis - 4|5 shape,2.175616973056405e-5,7.614659405697417e-5,Severe
Olink_mod3,Longitudinal analysis - 1|2 average,0.043996750243646535,0.10265908390184192,Mild
Olink_mod3,Longitudinal analysis - 1|2 shape,0.0039286782633124835,0.027500747843187383,Severe
Olink_mod3,Longitudinal analysis - 1|3 average,0.03556990657601447,0.08299644867736711,Mild
Olink_mod3,Longitudinal analysis - 1|4 average,5.535754818377761e-10,1.9375141864322163e-9,Mild
Olink_mod3,Longitudinal analysis - 1|4 shape,5.290003092255802e-4,0.001315491276579053,Severe
Olink_mod3,Longitudinal analysis - 1|5 average,5.099731933121707e-11,1.7849061765925975e-10,Mild
Olink_mod3,Longitudinal analysis - 1|5 shape,5.423006765334053e-7,1.2653682452446126e-6,Mild
Olink_mod3,Longitudinal analysis - 2|3 shape,0.021526134917537597,0.08406270743752192,Mild
Olink_mod3,Longitudinal analysis - 2|4 average,2.5311566940682553e-11,8.859048429238893e-11,Mild
Olink_mod3,Longitudinal analysis - 2|5 average,1.4042764771292076e-8,3.276645113301485e-8,Severe
Olink_mod3,Longitudinal analysis - 2|5 shape,8.798663458961872e-14,6.159064421273311e-13,Mild
Olink_mod3,Longitudinal analysis - 3|4 average,1.4786519076171512e-6,3.45018778444002e-6,Mild
Olink_mod3,Longitudinal analysis - 3|4 shape,0.014014560552970977,0.019961099699818716,Severe
Olink_mod3,Longitudinal analysis - 3|5 average,9.182044440644077e-7,2.1424770361502848e-6,Severe
